"","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6"
"11761861_at",4.136348,4.228015,3.637775,4.137935,4.136193,4.033683
"11761862_at",3.083326,3.108553,3.215564,3.323394,3.200263,3.542515
"11761863_a_at",5.140569,5.004105,5.212539,5.296938,5.34446,5.088438
"11761864_a_at",5.179606,5.026369,5.280293,5.314891,5.389731,5.254529
"11761865_at",3.042316,3.192068,3.159481,2.961787,3.345559,3.401323
"11761866_at",3.461591,3.019904,2.937575,3.453459,2.760223,3.206946
"11761867_at",3.617869,3.511784,3.787181,3.715693,3.747924,3.725341
"11761868_x_at",2.880254,2.963291,3.054386,2.822827,3.134685,2.981215
"11761869_at",3.085812,3.147701,3.034285,2.9857,3.120549,3.003174
"11761870_at",3.905664,3.722825,4.003708,4.367434,4.100661,4.002782
"11761871_at",3.266842,3.295408,3.242186,3.288402,3.274056,3.414189
"11761872_at",3.418983,3.323164,3.213134,3.622663,3.327165,3.398128
"11761873_x_at",4.406797,4.56917,4.167,4.42023,4.18799,4.678214
"11761874_at",3.999232,4.294849,3.806582,4.547636,4.122602,3.754806
"11761875_x_at",7.946098,8.194361,7.965276,8.097555,8.059212,8.122662
"11761876_at",4.136199,4.096623,3.683839,4.036441,3.865112,4.321507
"11761877_at",3.554216,3.600816,3.371719,3.502631,3.110507,3.451827
"11761878_at",3.258838,3.303371,3.669425,3.075604,3.038852,3.319182
"11761879_at",2.862584,3.017257,3.000027,3.238208,3.034054,2.958613
"11761880_at",4.288072,4.36334,3.862066,4.412247,4.115763,4.296851
"11761881_at",4.346599,4.05378,4.11062,4.566765,4.234195,4.170918
"11761882_at",3.68361,3.490673,3.37447,3.797552,3.844688,3.707594
"11761883_at",3.478789,3.56186,3.253144,3.372353,3.266131,3.414189
"11761884_at",3.083326,3.00868,2.846096,3.345294,3.14063,3.099898
"11761885_a_at",4.021158,4.697296,3.852903,3.947216,3.747027,3.753767
"11761886_a_at",3.878458,3.738327,3.963515,4.089454,3.627266,3.876334
"11761887_x_at",3.927238,3.873517,3.977611,4.177772,4.04583,4.035976
"11761888_x_at",3.608289,3.939015,3.912954,3.571872,3.565831,6.857129
"11761889_at",3.993263,3.570335,3.651698,3.950584,3.966909,4.425265
"11761890_at",3.081776,3.184562,3.159294,3.332316,3.3852,3.294203
"11761891_x_at",3.103244,3.137262,3.29645,3.27719,3.205445,3.347405
"11761892_at",4.046435,3.805187,3.793012,3.894846,4.020374,4.354614
"11761893_at",3.465325,3.821207,3.172132,3.428011,3.536715,3.293753
"11761894_at",4.161599,4.37212,4.063426,4.094526,4.091055,4.229803
"11761895_x_at",4.231565,4.158059,3.955206,4.219846,4.097759,4.337313
"11761896_x_at",3.150355,3.20936,3.19947,3.410781,3.38451,3.178102
"11761897_s_at",2.857539,2.872483,2.70783,2.809718,3.210521,2.864112
"11761898_at",3.733205,3.492593,3.662551,3.545989,4.052244,3.653576
"11761899_a_at",4.853797,4.82098,4.84692,4.867495,4.542993,4.666953
"11761900_at",4.149457,4.589832,4.608202,4.642268,4.69964,4.844993
"11761901_at",4.382538,4.111675,4.31123,4.747808,4.046854,4.051185
"11761902_at",3.420262,3.241077,3.347677,3.220596,3.370083,3.31833
"11761903_at",2.905123,2.856835,2.70478,3.011043,3.069702,2.909867
"11761904_a_at",4.215009,4.529221,4.311231,4.18231,4.255595,4.11296
"11761905_x_at",4.167195,4.158687,4.593681,4.381635,4.26004,4.61239
"11761906_a_at",3.085615,3.17948,2.937575,2.82152,2.956781,3.21619
"11761907_at",3.553389,3.517902,3.159644,3.485548,3.526722,3.78732
"11761908_at",4.145621,3.951176,4.077558,4.028092,4.184533,3.975866
"11761909_at",3.821021,3.989877,3.595046,3.731355,3.865112,3.767565
"11761910_at",5.39742,5.288211,5.203493,5.563273,5.382951,5.59613
"11761911_x_at",5.439759,5.247646,5.22128,5.310044,5.400737,5.632531
"11761912_at",2.797913,2.760826,2.76498,3.019825,2.633429,2.764958
"11761913_at",3.416238,3.370173,3.527307,3.299928,3.230777,3.218318
"11761914_a_at",6.782999,6.982506,6.93216,7.068356,6.324917,7.370203
"11761915_at",2.932778,3.226178,3.351023,2.852664,3.195935,3.297171
"11761916_at",4.68673,4.638143,4.57081,4.55725,4.532489,4.649249
"11761917_at",4.68352,4.524498,4.742072,4.743043,5.141657,4.974662
"11761918_x_at",5.471272,5.349106,5.23941,5.781115,5.508933,5.655289
"11761919_x_at",3.274808,3.043764,3.278825,2.861883,3.242417,3.242565
"11761920_at",4.57551,4.254405,4.627515,4.38541,4.47203,4.519626
"11761921_x_at",4.898479,4.985312,5.057115,5.345626,4.954902,5.095373
"11761922_at",3.033456,3.046584,2.866751,3.435719,2.948041,3.158608
"11761923_a_at",3.748805,4.046577,3.701388,4.082211,3.894176,4.600908
"11761924_at",2.548742,2.369956,2.531375,2.604933,2.416978,2.494596
"11761925_at",4.474398,4.560722,4.482432,5.089006,4.398694,4.412907
"11761926_a_at",3.96733,3.535363,3.855725,4.162735,3.95543,4.044394
"11761927_at",2.779446,2.49091,2.953949,3.270069,3.03968,2.792935
"11761928_at",5.249823,5.662183,5.165025,6.180742,5.351136,6.218915
"11761929_at",3.579967,3.232979,3.413718,3.538502,3.370393,3.501171
"11761930_at",3.389949,4.124063,3.383793,3.948106,4.055713,3.849654
"11761931_a_at",4.968794,4.61448,5.02181,4.602552,4.855402,4.757371
"11761932_at",4.500336,4.50267,4.448809,4.689407,4.797476,4.876911
"11761933_at",3.048196,3.156539,3.733861,3.271943,3.500055,2.958344
"11761934_at",3.12982,2.959782,2.870299,3.032332,2.984133,2.959945
"11761935_at",3.930612,4.336971,4.23448,3.707096,3.893751,3.957928
"11761936_a_at",4.234567,4.170825,4.770641,4.340199,4.374037,4.683064
"11761937_at",4.072122,3.9925,3.889234,4.089706,4.241258,4.137116
"11761938_a_at",9.711085,10.13857,9.897361,10.07099,10.05985,10.38566
"11761939_at",3.77013,3.463661,3.736206,3.707496,3.865111,3.501245
"11761940_a_at",2.574987,2.608831,2.771943,2.762256,2.604348,2.484734
"11761941_at",4.341894,4.164354,4.42556,4.597085,4.682953,4.646284
"11761942_at",3.002535,2.643492,3.186937,3.177003,3.002273,3.224288
"11761943_x_at",3.134101,3.365825,3.189573,3.580969,3.643743,3.293112
"11761944_x_at",3.549641,3.328668,3.405904,3.531908,3.564427,3.631673
"11761945_at",5.297145,5.295272,5.338226,5.443817,5.360244,5.37465
"11761946_at",3.66027,3.803895,3.790372,3.906647,3.700815,4.102778
"11761947_x_at",3.855275,3.637017,3.790372,3.906647,3.76392,4.102778
"11761948_at",3.116623,2.963365,3.035939,3.341517,3.095649,2.829481
"11761949_at",4.38588,4.766372,5.23055,4.207653,4.67912,4.673858
"11761950_x_at",4.065167,4.439805,4.289525,4.183019,4.311434,4.165451
"11761951_at",2.860704,2.984612,2.582098,2.832216,2.988559,2.874772
"11761952_at",3.442709,3.868459,3.612335,3.623741,3.652183,3.650153
